id,name,ascii_name,alternate_names,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,gtopo30,timezone,created_at,updated_at,trips_from_count,trips_to_count
592669,Žvirgždžiūnai,Zvirgzdziunai,Zhvirgdzhyunay,Zvirgzdziunai,Žvirgždžiūnai,55.95,24.06667,P,PPL,LT,LT,00,,,,0,0,53,Europe/Vilnius,2012-01-17 00:00:00,NULL,0,0
592670,Žvirgždžiai,Zvirgzdziai,Zhviradis,Zvirgzdziai,Žvirgždžiai,55.75,22.51667,P,PPL,LT,LT,00,,,,0,0,183,Europe/Vilnius,2012-01-17 00:00:00,NULL,0,0
592671,Žvirgždžiai,Zvirgzdziai,,55.28333,23.16667,P,PPL,LT,,00,,,,0,0,72,Europe/Vilnius,1994-01-12 00:00:00,NULL,0,0
592672,Žvirgždėnai,Zvirgzdenai,Zhvirzhdenay,Zvirgzdenai,Zvirgzdenu,Žvirgždėnai,Žvirgždėnų,54.4,24.35,P,PPL,LT,LT,00,,,,0,0,136,Europe/Vilnius,2012-01-17 00:00:00,NULL,0,0
592673,Žvirgždė,Zvirgzde,Zvirgzde,Zvirzde,Žvirgždė,Žvirždė,54.71667,23.26667,H,STM,LT,LT,00,,,,0,0,40,Europe/Vilnius,2012-01-17 00:00:00,NULL,0,0
592674,Žvirgždaičiai,Zvirgzdaiciai,Zhvirgzhdaitse,Zhvirgzhdaychyay,Zvirgzdaiciai,Zvirgzdaiciu,Žvirgždaičiai,Žvirgždaičių,54.8,23.01667,P,PPL,LT,LT,00,,,,0,0,42,Europe/Vilnius,2012-01-17 00:00:00,NULL,0,0
592675,Žvirgždaičiai,Zvirgzdaiciai,Zvirgzdaiciai,Zvirozhdaytse,Žvirgždaičiai,54.63333,23.26667,P,PPL,LT,LT,00,,,,0,0,64,Europe/Vilnius,2012-01-17 00:00:00,NULL,0,0
592676,Žvirblys,Zvirblys,Reka Zhvirblsh,Zvirblys,Žvirblys,55.08333,23.68333,H,STM,LT,LT,00,,,,0,0,57,Europe/Vilnius,2012-01-17 00:00:00,NULL,0,0
592677,Žvirbliai,Zvirbliai,Zhvirbley,Zvirbliai,Žvirbliai,55.8,21.35,P,PPL,LT,LT,00,,,,0,0,42,Europe/Vilnius,2012-01-17 00:00:00,NULL,0,0
592678,Žvirblėnai,Zvirblenai,Zhvirblyantse,Zvirblenai,Zvirblenu,Zvirblėnų,Žvirblėnai,55.41667,24.96667,P,PPL,LT,LT,00,,,,0,0,92,Europe/Vilnius,2012-01-17 00:00:00,NULL,0,0
